school_name,address,mascot,colors,f2_colors
Berrien High School,"500 East Smith Avenue Nashville, GA 31639",Rebels,Red & Gray,"red, gray"
Irwin County High School,"149 Chieftain Circle Ocilla, GA 31774-2231",Indians,Red & Gray,"red, gray"
Laney High School,"1339 Laney Walker Blvd Augusta, GA 30901",Wildcats,Red & Gray,"red, gray"
Macon County High School,"611 Vienna Road Montezuma, GA 31063-1274",Bulldogs,Red & Gray,"red, gray"
Madison County High School,"600 Madison Street Danielsville, GA 30633",Red Raiders,Red & Gray,"red, gray"
Pike County High School,"331 Pirate Drive Zebulon, GA 30295-3378",Pirates,Red & Gray,"red, gray"
Toombs County High School,"500 Bulldog Road Lyons, GA 30436-4961",Bulldogs,"Red, Navy & White","red, navy"
Archer High School,"2255 New Hope Road Lawrenceville, GA 30045-6560",Tigers,"Red, Silver & White","red, silver"
Banneker High School,"6015 Feldwood Road Atlanta, GA 30349-3649",Trojans,Red & Silver,"red, silver"
McNair High School,"1804 Bouldercrest Road, SE Atlanta, GA 30316-3902",Mustangs,"Red, Silver & White","red, silver"
Savannah Classical Academy,"705 East Anderson Street Savannah, GA 31401",Spartan,"Red, Silver & Navy","red, silver"
Rome High School,"1000 Veteran's Memorial Hwy, NE Rome, GA 30161",Wolves,Red & Vegas Gold,"red, vegas gold"
Bradwell Institute,"100 Pafford Street Hinesville, GA 31313-3199",Tigers,Royal Blue & Gold,"royal blue, gold"
Chattahoochee High School,"5230 Taylor Road Johns Creek, GA 30022-6015",Cougars,"Royal Blue, Gold & White","royal blue, gold"
Crisp County High School,"2402 Cougar Alley Cordele, GA 31015",Cougars,Royal Blue & Gold,"royal blue, gold"
Lake Oconee Academy,"1021 Titan Circle Greensboro, GA 30642",Titans,Royal Blue & Gold,"royal blue, gold"
St. Vincent's Academy,"207 East Liberty Street Savannah, GA 31401-4401",Saints,Royal Blue & Gold,"royal blue, gold"
Stewart County High School,"15582 GA 27 PO Box 706 Lumpkin, GA 31815-0706",Royal Knights,Royal Blue & Gold,"royal blue, gold"
Cedar Shoals High School,"1300 Cedar Shoals Drive Athens, GA 30605",Jaguars,Royal Blue & Orange,"royal blue, orange"
Columbus High School,"1700 Cherokee Avenue Columbus, GA 31906",Blue Devils,Royal Blue & Orange,"royal blue, orange"
Jefferson High School,"575 Washington Street Jefferson, GA 30549",Dragons,"Royal Blue, Red & White","royal blue, red"
Campbell High School,"925 Powder Springs Street Smyrna, GA 30080-1944",Spartans,Royal Blue & Silver,"royal blue, silver"
South Forsyth High School,"585 Peachtree Parkway Cumming, GA 30041-6821",War Eagles,Royal Blue & Silver,"royal blue, silver"
Cass High School,"1000 Colonel Way, NE White, GA 30184-2619",Colonels,Royal Blue & Vegas Gold,"royal blue, vegas gold"
McEachern High School,"2400 New Macland Road Powder Springs, GA 30127-1798",Indians,Royal Blue & Vegas Gold,"royal blue, vegas gold"
Sumter County High School,"903 South Georgia Tech Parkway Americus, GA 31709",Panthers,Royal Blue & Vegas Gold,"royal blue, vegas gold"
North Oconee High School,"1081 Rocky Branch Road Bogart, GA 30622",Titans,"Scarlet, Gold, Black","scarlet, gold"
New Manchester High School,"4925 Highway 92/166 Douglasville, GA 30135-5127",Jaguars,"Scarlet, Silver & White","scarlet, silver"
Jonesboro High School,"7728 Mt. Zion Blvd Jonesboro, GA 30236",Cardinals,Scarlet & White,"scarlet, white"
North Atlanta High School,"4111 Northside Parkway Atlanta, GA 30327",Warriors,Silver & Black,"silver, black"
Islands High School,"170 Whitemarsh Island Road Savannah, GA 31410",Sharks,"Teal, Black & White","teal, black"
