school_name,address,mascot,colors
Manchester High School,"405 5th Avenue, N Manchester, GA 31816",Blue Devils,Blue & White
Marietta High School,"1171 Whitlock Avenue Marietta, GA 30064-2276",Blue Devils,Navy & White
Marion County High School,"1 Eagle Drive Buena Vista, GA 31803",Eagles,Red & Black
Marist School,"3790 Ashford Dunwoody Rd, NE Atlanta, GA 30319-1899",War Eagles,Blue & Gold
Mary Persons High School,"300 Montpelier Avenue Forsyth, GA 31029",Bulldogs,Black & Gold
Benjamin E. Mays High School,"3450 Benjamin E. Mays Drive Atlanta, GA 30331",Raiders,Carolina Blue & Corn Gold
McEachern High School,"2400 New Macland Road Powder Springs, GA 30127-1798",Indians,Royal Blue & Vegas Gold
McIntosh High School,"201 Walt Banks Road Peachtree City, GA 30269",Chiefs,"Kelly Green, Black & White"
McIntosh County Academy,"8945 US 17, North Darien, GA 31305-9834",Buccaneers,Red & Gold
McNair High School,"1804 Bouldercrest Road, SE Atlanta, GA 30316-3902",Mustangs,"Red, Silver & White"
Meadowcreek High School,"4455 Steve Reynolds Blvd Norcross, GA 30093",Mustangs,"Carolina Blue, White & Navy"
Metter High School,"34905 Highway 129, South Metter, GA 30439",Tigers,"Orange, White & Black"
Midtown High School,"929 Charles Allen Drive NE Atlanta, GA 30309",Knights,Cardinal & Gray
Mill Creek High School,"4400 Braselton Hwy Hoschton, GA 30548",Hawks,"Cardinal, Vegas Gold & Navy"
Miller County High School,"996 Phillipsburg Hwy Colquitt, GA 39837",Pirates,Red & White
Miller Grove High School,"2645 DeKalb Medical Parkway Lithonia, GA 30058",Wolverines,"Purple, White & Silver"
Milton High School,"13025 Birmingham Highway Milton, GA 30004",Eagles,"Red, White & Navy Blue"
Mitchell County High School,"1000 Newton Road Camilla, GA 31730",Eagles,"Red, White & Royal Blue"
Model High School,"3252 Calhoun Highway, NE Rome, GA 30161-9679",Blue Devils,Royal Blue & White
Monroe High School,"900 Lippitt Drive Albany, GA 31701",Tornadoes,green and gold
Monroe Area High School,"300 Double Springs Church Road Monroe, GA 30656",Purple Hurricanes,Purple & White
Montgomery County High School,"100 Faye D. Brewer St. Mt. Vernon, GA 30445",Eagles,"Red, White & Blue"
Morgan County High School,"1231 College Drive Madison, GA 30650",Bulldogs,"Red, Black & White"
Morrow High School,"4930 Steele Road Ellenwood, GA 30294",Mustangs,Forest Green & Vegas Gold
Mountain View High School,"2351 Sunny Hill Road Lawrenceville, GA 30043",Bears,Black & Metallic Vegas Gold
Mt. Bethel Christian Academy,"2509 Post Oak Tritt Road Marietta, GA 30062",Eagles,Navy & Gold
Mt. Paran Christian School,"1275 Stanley Road Kennesaw, GA 30152",Eagles,"Royal, White & Black"
Mt. Pisgah Christian School,"9820 Nesbit Ferry Road Johns Creek, GA 30022-5349",Patriots,"Red, White & Blue"
Mount Vernon School,"510 Mt. Vernon Highway, NE Atlanta, GA 30328",Mustangs,Navy & White
Mt. Zion High School,"280 Eureka Church Road Carrollton, GA 30117",Eagles,"Red, White & Gray"
Mt. Zion High School,"2535 Mt. Zion Parkway Jonesboro, GA 30236",Bulldogs,Red & Black
Mundy's Mill High School,"9652 Fayetteville Road Jonesboro, GA 30238",Tigers,"Navy, Orange & White"
Murray County High School,"1001 Green Road Chatsworth, GA 30705-2011",Indians,Green & White
New Hampstead High School,"2451 Little Neck Road Savannah, GA 31302",Phoenix,Burgundy & Gold
New Manchester High School,"4925 Highway 92/166 Douglasville, GA 30135-5127",Jaguars,"Scarlet, Silver & White"
Newnan High School,"190 LaGrange Street Newnan, GA 30263",Cougars,"Navy, Gold, and White"
Newton High School,"1 Ram Way Covington, GA 30014-1905",Rams,Royal Blue & White
Norcross High School,"5300 Spalding Drive Norcross, GA 30092",Blue Devils,"Blue, White & Silver"
North Atlanta High School,"4111 Northside Parkway Atlanta, GA 30327",Warriors,Silver & Black
North Clayton High School,"1525 Norman Drive College Park, GA 30349",Eagles,"Blue, White, Silver, Black"
North Cobb High School,"3400 Old Highway 293, North Kennesaw, GA 30144-1072",Warriors,"Orange, White & Blue"
North Cobb Christian School,"4500 Eagle Drive Kennesaw, GA 30144",Eagles,"Navy, Carolina Blue & White"
North Forsyth High School,"3635 Coal Mountain Drive Cumming, GA 30028-3279",Raiders,"Black, Silver & Purple"
North Gwinnett High School,"20 Level Creek Road, NE Suwanee, GA 30024",Bulldogs,"Black, Red & White"
North Hall High School,"4885 Mt. Vernon Road Gainesville, GA 30506",Trojans,"Forest Green, White, Black & Silver"
North Murray High School,"2568 Mt. Carmel Church Road Chatsworth, GA 30705",Mountaineers,Black & Gold
North Oconee High School,"1081 Rocky Branch Road Bogart, GA 30622",Titans,"Scarlet, Gold, Black"
